"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test1","0","","6","0","","0"
"0","Test1","0","Essential features","1","0","Authentication","0"
"0","Web interface","0","Essential features","1","0","Authentication","0"
